	Muricata_M_muricata	G1_M_elongata	G5_M_elongata	G6_M_elongata	M105_M_muricata	SAI1727_M_muricata	SAI1728_M_muricata	SAI1729_M_muricata	SAI1831_M_muricata	SAI1832_M_muricata	SAI1833_M_muricata	SAI1835_M_muricata	SAI1836_M_muricata	CA2_M_elongata	CA3_M_laxa	CA4_M_laxa	CA5_M_laxa	CA6_M_laxa	PAN_3_M_laxa	PAN_M7_M_muricata	PAN_4_M_laxa	PAN_M8_M_muricata	PAN_5_M_laxa	PAN_6_M_laxa	PAN_7_M_laxa	CAR330_M_muricata	PAN_M4_M_muricata	PAN_M5_M_muricata	CAR332_M_muricata	PAN_M6_M_muricata
Muricata_M_muricata	0	0.023236203504169	0.023001967581748	0.025297479621475	0.023423592242106	0.023892064086948	0.027967769137075	0.025765951466317	0.024079452824885	0.022439801367938	0.023704675349012	0.023517286611075	0.021596552047222	0.10952871732409	0.11205846528624	0.11341703363628	0.10976295324651	0.11885130703645	0.11486929635529	0.022627190105875	0.11018457790687	0.023751522533496	0.12035041693994	0.12339548393142	0.12297385927106	0.10746744120678	0.024594771854212	0.025203785252506	0.10465661013773	0.023845216902464
G1_M_elongata	0.023236203504169	0	0.023048814766233	0.021971329523096	0.023985758455917	0.023283050688654	0.02590649301977	0.025110090883538	0.026140728942191	0.022814578843811	0.023423592242106	0.023048814766233	0.022533495736906	0.10807645460508	0.11332333926731	0.11327649208283	0.10980980043099	0.11997563946407	0.11547830975358	0.022627190105875	0.11294856179144	0.023517286611075	0.12245854024173	0.12339548393142	0.12152159655205	0.10840438489647	0.024594771854212	0.02590649301977	0.1029701114963	0.02468846622318
G5_M_elongata	0.023001967581748	0.023048814766233	0	0.02557856272838	0.024313688747306	0.020753302726506	0.022299259814485	0.025484868359412	0.022111871076548	0.023610980980043	0.024735313407664	0.02379836971798	0.024313688747306	0.10770167712921	0.11069989693619	0.11290171460695	0.10948187013961	0.11613417033636	0.11205846528624	0.021643399231706	0.10938817577064	0.022674037290359	0.12025672257097	0.12016302820201	0.11805490490022	0.10512508198257	0.025531715543896	0.023236203504169	0.1032511946032	0.023001967581748
G6_M_elongata	0.025297479621475	0.021971329523096	0.02557856272838	0	0.023985758455917	0.021034385833411	0.025156938068022	0.025250632436991	0.025812798650801	0.023376745057622	0.023610980980043	0.023329897873138	0.023751522533496	0.11248008994659	0.11585308722946	0.11599362878291	0.11158999344139	0.1225522346107	0.11805490490022	0.023189356319685	0.11332333926731	0.022674037290359	0.12428558043662	0.12630000936944	0.12536306567975	0.10807645460508	0.025765951466317	0.026234423311159	0.10737374683782	0.024641619038696
M105_M_muricata	0.023423592242106	0.023985758455917	0.024313688747306	0.023985758455917	0	0.022533495736906	0.027452450107749	0.02679658952497	0.022627190105875	0.022814578843811	0.023845216902464	0.023704675349012	0.02501639651457	0.11318279771386	0.11430713014148	0.11557200412255	0.11093413285862	0.12016302820201	0.11707111402605	0.023610980980043	0.11458821324838	0.024454230300759	0.12222430431931	0.12480089946594	0.12400449732971	0.10971610606203	0.024547924669727	0.025531715543896	0.10498454042912	0.025484868359412
SAI1727_M_muricata	0.023892064086948	0.023283050688654	0.020753302726506	0.021034385833411	0.022533495736906	0	0.021971329523096	0.024547924669727	0.022111871076548	0.022439801367938	0.022955120397264	0.022955120397264	0.022533495736906	0.10442237421531	0.10995034198445	0.10709266373091	0.10770167712921	0.11130891033449	0.10952871732409	0.020940691464443	0.10456291576876	0.02080014991099	0.11407289421906	0.1145413660639	0.11538461538462	0.10315750023424	0.023845216902464	0.022252412630001	0.099409725475499	0.021596552047222
SAI1728_M_muricata	0.027967769137075	0.02590649301977	0.022299259814485	0.025156938068022	0.027452450107749	0.021971329523096	0	0.02824885224398	0.024173147193854	0.025859645835285	0.025531715543896	0.024641619038696	0.024079452824885	0.11065304975171	0.11369811674318	0.11397919985009	0.11088728567413	0.11782066897779	0.11383865829664	0.023329897873138	0.11074674412068	0.023517286611075	0.12109997189169	0.12095943033824	0.12086573596927	0.10802960742059	0.027967769137075	0.026140728942191	0.10493769324464	0.025438021174927
SAI1729_M_muricata	0.025765951466317	0.025110090883538	0.025484868359412	0.025250632436991	0.02679658952497	0.024547924669727	0.02824885224398	0	0.022767731659327	0.024829007776633	0.024594771854212	0.025110090883538	0.026515506418064	0.11032511946032	0.11421343577251	0.11486929635529	0.11027827227584	0.11997563946407	0.11571254567601	0.025063243699054	0.11107467441207	0.024219994378338	0.12063150004685	0.12152159655205	0.12442612199007	0.10606202567226	0.027030825447391	0.026374964864612	0.10578094256535	0.026047034573222
SAI1831_M_muricata	0.024079452824885	0.026140728942191	0.022111871076548	0.025812798650801	0.022627190105875	0.022111871076548	0.024173147193854	0.022767731659327	0	0.023610980980043	0.023845216902464	0.023423592242106	0.020565913988569	0.10535931790499	0.1065304975171	0.11065304975171	0.10348543052563	0.11552515693807	0.11369811674318	0.023470439426591	0.10924763421718	0.021830787969643	0.11772697460883	0.12063150004685	0.12039726412443	0.1020800149911	0.024501077485243	0.024735313407664	0.099831350135857	0.024922702145601
SAI1832_M_muricata	0.022439801367938	0.022814578843811	0.023610980980043	0.023376745057622	0.022814578843811	0.022439801367938	0.025859645835285	0.024829007776633	0.023610980980043	0	0.00023423592242106	0.001311721165558	0.021830787969643	0.11304225616041	0.11585308722946	0.11510353227771	0.11262063150005	0.12030356975546	0.11636840625878	0.024266841562822	0.11191792373278	0.022439801367938	0.1198819450951	0.12362971985384	0.12362971985384	0.1074205940223	0.023095661950717	0.026328117680127	0.10624941441019	0.02590649301977
