	MLP143_M_fruticosa	MLP144_M_fruticosa	MLP146_M_fruticosa	MLP147_M_fruticosa	MLP150_M_fruticosa	MLP154_M_fruticosa	ECU004_M_plantag	ECU007_M_purpurea	ECU016_M_purpurea	ECU018_M_purpurea	ECU019_M_austera	ECU021_M_purpurea	ECU022_M_hebes	ECU026_M_austera	ECU030_M_fruticosa	ECU031_M_fruticosa	ECU034_M_austera	ECU035_M_californica	ECU041_M_squarro	ECU044_M_squarro	ECU046_M_squarro	ECU048_M_squarro	ECU049_M_californica	ECU050_M_californica	ECU056_M_fruticosa	ECU065_M_fruticosa	ECU069_M_plantag	ECU070_M_squarro	ECU072_M_californica	ECU076_Muricea_sp	ECU079_M_echinata	ECU080_M_echinata	ECU082_Muricea_sp	ECU083_M_echinata	ECU085_M_echinata	ECU089_Muricea_sp	ECU109_M_robusta	ECU111_M_californica	ECU116_M_crassa	ECU117_M_crassa	ECU118_M_crassa	ECU119_M_crassa	ECU124_M_hebes
MLP143_M_fruticosa	0	0.012414503888316	0.012414503888316	0.01100908835379	0.0096505200037478	0.011805490490021	0.12606577344702	0.099175489553078	0.10212686217558	0.10006558605828	0.10086198819451	0.10170523751523	0.077016771292045	0.093881757706362	0.04281832661857	0.055513913613792	0.09786376838752	0.13276492082826	0.077485243136887	0.074487023329898	0.079124894593835	0.078000562166214	0.13543521034386	0.13046940878853	0.057434648177645	0.084090696149161	0.12897029888504	0.078984353040382	0.13192167150754	0.10948187013961	0.12330178956245	0.12648739810737	0.13506043286798	0.13417033636278	0.129063993254	0.13388925325588	0.071910428183266	0.13093788063337	0.07973390799213	0.078328492457603	0.078000562166214	0.076220369155814	0.079078047409351
MLP144_M_fruticosa	0.012414503888316	0	0.013866766607327	0.010165839033074	0.011946032043474	0.012133420781411	0.13150004684718	0.10114307130142	0.10442237421531	0.10151784877729	0.10198632062213	0.10446922139979	0.078750117117961	0.094256535182236	0.042724632249602	0.056544551672445	0.096411505668509	0.1367937786939	0.078141103719666	0.075892438864424	0.079265436147288	0.078422186826572	0.13754333364565	0.13421718354727	0.058465286236297	0.085496111683688	0.13402979480933	0.079780755176614	0.13510728005247	0.11173053499485	0.12719010587464	0.12920453480746	0.13951091539398	0.13876136044224	0.13304600393516	0.13824604141291	0.07406539866954	0.13435772510072	0.079078047409351	0.078281645273119	0.077110465661014	0.076407757893751	0.08151410100253
MLP146_M_fruticosa	0.012414503888316	0.013866766607327	0	0.010493769324464	0.011383865829664	0.015553265248759	0.12517567694182	0.098707017708236	0.10161154314626	0.097723226834067	0.097723226834067	0.10165839033074	0.075892438864424	0.092054717511478	0.043099409725475	0.05649770448796	0.095006090133983	0.13098472781786	0.075330272650614	0.072613135950529	0.075939286048908	0.075049189543708	0.13313969830413	0.12761173053499	0.056872481963834	0.082778974983603	0.129063993254	0.078328492457603	0.12929822917643	0.10629626159468	0.12025672257097	0.1222711515038	0.13257753209032	0.13253068490584	0.1278928136419	0.13351447578001	0.069240138667666	0.12859552140916	0.078000562166214	0.076876229738593	0.076454605078235	0.075892438864424	0.075798744495456
MLP147_M_fruticosa	0.01100908835379	0.010165839033074	0.010493769324464	0	0.011805490490021	0.012320809519348	0.12704956432118	0.095943033823667	0.10067459945657	0.096833130328867	0.097957462756488	0.10015928042725	0.074018551485056	0.09041506605453	0.041647147006465	0.056919329148318	0.093928604890846	0.13346762859552	0.076360910709266	0.074861800805772	0.077438395952403	0.077766326243793	0.13328023985758	0.13000093694369	0.056919329148318	0.08385646022674	0.12887660451607	0.07762578469034	0.13126581092476	0.10817014897405	0.12236484587276	0.12419188606765	0.13379555888691	0.13388925325588	0.12681532839876	0.13332708704207	0.07284737187295	0.12943877072988	0.077672631874824	0.077110465661014	0.07495549517474	0.077157312845498	0.07706361847653
MLP150_M_fruticosa	0.0096505200037478	0.011946032043474	0.011383865829664	0.011805490490021	0	0.010728005246885	0.12681532839876	0.096505200037478	0.10062775227209	0.097723226834067	0.098941253630657	0.099316031106531	0.075002342359224	0.08985289984072	0.042912020987539	0.054530122739623	0.09341328586152	0.13309285111965	0.076314063524782	0.072659983135014	0.077204160029982	0.075986133233393	0.13524782160592	0.13093788063337	0.056029232643118	0.083669071488803	0.13112526937131	0.077813173428277	0.13178112995409	0.10690527499297	0.12456666354352	0.12625316218495	0.13342078141104	0.13459196102314	0.12704956432118	0.13220275461445	0.070083387988382	0.13028202005059	0.077344701583435	0.075611355757519	0.074861800805772	0.075142883912677	0.076923076923077
MLP154_M_fruticosa	0.011805490490021	0.012133420781411	0.015553265248759	0.012320809519348	0.010728005246885	0	0.129063993254	0.098847559261688	0.10315750023424	0.1014710015928	0.1011899184859	0.10156469596177	0.075939286048908	0.093460133046004	0.043286798463412	0.05504544176895	0.095427714794341	0.13538836315937	0.076454605078235	0.074346481776445	0.076876229738593	0.076829382554108	0.13674693150942	0.13243699053687	0.058090508760424	0.085168181392298	0.13220275461445	0.078047409350698	0.13426403073175	0.11102782722758	0.12761173053499	0.13023517286611	0.13955776257847	0.13637215403354	0.13220275461445	0.13702801461632	0.070832942940129	0.13103157500234	0.079078047409351	0.075986133233393	0.075423967019582	0.075798744495456	0.077016771292045
ECU004_M_plantag	0.12606577344702	0.13150004684718	0.12517567694182	0.12704956432118	0.12681532839876	0.129063993254	0	0.11294856179144	0.11800805771573	0.11927293169681	0.11749273868641	0.11889815422093	0.10072144664106	0.11084043848965	0.12377026140729	0.11688372528811	0.11318279771386	0.02169024641619	0.13014147849714	0.12288016490209	0.12676848121428	0.12953246509885	0.023189356319685	0.023189356319685	0.11571254567601	0.066710390705519	0.025110090883538	0.12259908179518	0.024454230300759	0.085496111683688	0.098519628970299	0.10100252974796	0.10624941441019	0.021830787969643	0.099925044504825	0.10493769324464	0.11955401480371	0.025438021174927	0.12517567694182	0.12428558043662	0.1252225241263	0.12756488335051	0.095708797901246
ECU007_M_purpurea	0.099175489553078	0.10114307130142	0.098707017708236	0.095943033823667	0.096505200037478	0.098847559261688	0.11294856179144	0	0.021034385833411	0.018036166026422	0.019207345638527	0.021971329523096	0.06839688934695	0.034854305256254	0.090087135763141	0.079452824885224	0.034901152440738	0.12039726412443	0.097816921203036	0.094069146444299	0.09608357537712	0.096177269746088	0.12475405228146	0.11702426684156	0.085215028576782	0.10887285674131	0.11599362878291	0.096458352852994	0.12035041693994	0.10156469596177	0.11308910334489	0.11472875480184	0.12540991286424	0.12025672257097	0.11908554295887	0.12288016490209	0.087135763140635	0.11585308722946	0.09697367188232	0.094818701396046	0.094490771104657	0.095802492270215	0.071348261969456
ECU016_M_purpurea	0.10212686217558	0.10442237421531	0.10161154314626	0.10067459945657	0.10062775227209	0.10315750023424	0.11800805771573	0.021034385833411	0	0.023610980980043	0.022861426028296	0.024829007776633	0.069240138667666	0.035931790499391	0.094115993628783	0.083762765857772	0.036072332052844	0.12714325869015	0.10250163965146	0.097723226834067	0.09997189168931	0.10128361285487	0.13070364471095	0.12320809519348	0.089197039257941	0.11173053499485	0.12540991286424	0.1005809050876	0.12578469034011	0.10390705518598	0.11571254567601	0.11992879227958	0.12868921577813	0.12653424529186	0.12213060995034	0.12615946781598	0.091679940035604	0.12311440082451	0.10184577906868	0.099175489553078	0.099737655766888	0.099690808582404	0.072659983135014
ECU018_M_purpurea	0.10006558605828	0.10151784877729	0.097723226834067	0.096833130328867	0.097723226834067	0.1014710015928	0.11927293169681	0.018036166026422	0.023610980980043	0	0.018176707579874	0.020706455542022	0.071676192260845	0.034573222149349	0.091726787220088	0.083715918673288	0.036212873606296	0.12882975733158	0.10095568256348	0.098425934601331	0.099550267028952	0.099737655766888	0.13248383772135	0.12400449732971	0.089150192073456	0.11027827227584	0.12405134451419	0.1014710015928	0.12803335519535	0.10723320528436	0.11664948936569	0.123161248009	0.13159374121615	0.12897029888504	0.12583153752459	0.12943877072988	0.091679940035604	0.12400449732971	0.099925044504825	0.098379087416846	0.098332240232362	0.098707017708236	0.075049189543708
