	ECU004_M_plantag	ECU007_M_purpurea	ECU016_M_purpurea	ECU018_M_purpurea	ECU019_M_austera	ECU021_M_purpurea	ECU022_M_hebes	ECU026_M_austera	ECU030_M_fruticosa	ECU031_M_fruticosa	ECU034_M_austera	ECU035_M_californica	ECU041_M_squarro	ECU044_M_squarro	ECU046_M_squarro	ECU048_M_squarro	ECU049_M_californica	ECU050_M_californica	ECU056_M_fruticosa	ECU065_M_fruticosa	ECU069_M_plantag	ECU070_M_squarro	ECU072_M_californica	ECU076_Muricea_sp	ECU079_M_echinata	ECU080_M_echinata	ECU082_Muricea_sp	ECU083_M_echinata	ECU085_M_echinata	ECU089_Muricea_sp	ECU109_M_robusta	ECU111_M_californica	ECU116_M_crassa	ECU117_M_crassa	ECU118_M_crassa	ECU119_M_crassa	ECU124_M_hebes	MLP143_M_fruticosa	MLP144_M_fruticosa	MLP146_M_fruticosa	MLP147_M_fruticosa	MLP150_M_fruticosa	MLP154_M_fruticosa
ECU004_M_plantag	0	0.5622	0.559333333333333	0.699533333333333	0.519266666666666	0.589466666666666	0.808066666666666	0.554133333333333	0.6942	0.975133333333333	0.6406	0.4936	0.7462	0.815933333333333	0.846	0.800733333333333	0.593133333333333	0.736733333333333	0.730333333333333	0.607266666666666	0.660133333333333	0.8578	0.621866666666666	0.772666666666666	0.734	0.760133333333333	0.779333333333333	0.6076	0.7892	0.7736	0.949	0.631933333333333	0.787733333333333	0.6784	0.802533333333333	0.757733333333333	0.7942	0.793466666666666	0.788466666666666	0.733133333333333	0.734333333333333	0.7686	0.754866666666666
ECU007_M_purpurea	0.5622	0	0.248866666666666	0.404466666666666	0.4336	0.2562	0.6996	0.447266666666666	0.551133333333333	0.890133333333333	0.579866666666666	0.518933333333333	0.7678	0.783733333333333	0.859933333333333	0.794333333333333	0.6642	0.785066666666666	0.631933333333333	0.418266666666666	0.566533333333333	0.816933333333333	0.563666666666666	0.6628	0.6094	0.663733333333333	0.680066666666666	0.593466666666666	0.761066666666666	0.657333333333333	0.946933333333333	0.5392	0.7806	0.7246	0.778133333333333	0.716866666666666	0.598666666666666	0.635866666666666	0.635666666666666	0.5828	0.593866666666666	0.630933333333333	0.604066666666666
ECU016_M_purpurea	0.559333333333333	0.248866666666666	0	0.487666666666666	0.3176	0.267	0.663933333333333	0.420266666666666	0.5572	0.959133333333333	0.417733333333333	0.397266666666666	0.7448	0.781066666666666	0.857066666666666	0.83	0.5234	0.655666666666666	0.5998	0.402	0.4072	0.854066666666666	0.399733333333333	0.639933333333333	0.602733333333333	0.629333333333333	0.648666666666666	0.464666666666666	0.7608	0.6384	0.952266666666666	0.3818	0.729133333333333	0.7676	0.816933333333333	0.7036	0.634533333333333	0.638466666666666	0.6384	0.573	0.5794	0.617333333333333	0.604133333333333
ECU018_M_purpurea	0.699533333333333	0.404466666666666	0.487666666666666	0	0.4524	0.354066666666666	0.881466666666666	0.6746	0.7316	0.8492	0.603933333333333	0.655066666666666	0.747666666666666	0.764266666666666	0.856466666666666	0.791266666666666	0.7274	0.7722	0.815666666666666	0.582266666666666	0.733133333333333	0.813866666666666	0.724333333333333	0.8264	0.7276	0.833266666666666	0.851533333333333	0.717133333333333	0.8656	0.828133333333333	0.925	0.704466666666666	0.762	0.7764	0.767866666666666	0.6938	0.7396	0.8054	0.803133333333333	0.749666666666666	0.7702	0.802333333333333	0.7782
ECU019_M_austera	0.519266666666666	0.4336	0.3176	0.4524	0	0.3728	0.918466666666666	0.6196	0.796	0.938266666666666	0.312133333333333	0.534733333333333	0.7444	0.762	0.859466666666666	0.812	0.6262	0.633866666666666	0.852133333333333	0.611733333333333	0.627933333333333	0.834333333333333	0.626466666666666	0.893533333333333	0.860933333333333	0.885066666666666	0.903866666666666	0.616866666666666	0.912533333333333	0.894266666666666	0.945666666666666	0.607866666666666	0.711933333333333	0.712333333333333	0.794466666666666	0.684466666666666	0.8322	0.873666666666666	0.874466666666666	0.820266666666666	0.816533333333333	0.854933333333333	0.836466666666666
ECU021_M_purpurea	0.589466666666666	0.2562	0.267	0.354066666666666	0.3728	0	0.732266666666666	0.490533333333333	0.573933333333333	0.872333333333333	0.523933333333333	0.472133333333333	0.7162	0.728866666666666	0.839466666666666	0.779	0.62	0.7434	0.666466666666666	0.420933333333333	0.558333333333333	0.800133333333333	0.546133333333333	0.698933333333333	0.672333333333333	0.694266666666666	0.715666666666666	0.544333333333333	0.7432	0.695266666666666	0.913133333333333	0.5222	0.721133333333333	0.738	0.7564	0.653333333333333	0.589266666666666	0.657733333333333	0.657133333333333	0.6034	0.618666666666666	0.6572	0.624466666666666
ECU022_M_hebes	0.808066666666666	0.6996	0.663933333333333	0.881466666666666	0.918466666666666	0.732266666666666	0	0.357066666666666	0.625866666666666	0.9744	0.937066666666666	0.7624	0.9732	0.977466666666666	0.974266666666666	0.973866666666666	0.812466666666666	0.923533333333333	0.185733333333333	0.702666666666666	0.436933333333333	0.975533333333333	0.599533333333333	0.116	0.456533333333333	0.43	0.0970666666666666	0.747466666666666	0.783466666666666	0.113133333333333	0.958933333333333	0.636866666666666	0.981066666666666	0.964733333333333	0.972333333333333	0.981133333333333	0.5534	0.235933333333333	0.572866666666666	0.378733333333333	0.273066666666666	0.2722	0.496333333333333
ECU026_M_austera	0.554133333333333	0.447266666666666	0.420266666666666	0.6746	0.6196	0.490533333333333	0.357066666666666	0	0.503533333333333	0.947933333333333	0.6146	0.560733333333333	0.804666666666666	0.8662	0.8698	0.854	0.708466666666666	0.833066666666666	0.285466666666666	0.5486	0.334933333333333	0.8644	0.4934	0.318733333333333	0.382733333333333	0.376066666666666	0.332733333333333	0.634866666666666	0.7556	0.3128	0.910866666666666	0.498466666666666	0.856533333333333	0.724866666666666	0.814133333333333	0.8194	0.523733333333333	0.323866666666666	0.540533333333333	0.302533333333333	0.265733333333333	0.310666666666666	0.428733333333333
ECU030_M_fruticosa	0.6942	0.551133333333333	0.5572	0.7316	0.796	0.573933333333333	0.625866666666666	0.503533333333333	0	0.873466666666666	0.815933333333333	0.6362	0.496466666666666	0.494533333333333	0.538533333333333	0.495866666666666	0.733266666666666	0.853533333333333	0.538466666666666	0.5182	0.5642	0.493266666666666	0.5364	0.5858	0.555933333333333	0.587466666666666	0.599533333333333	0.6544	0.752933333333333	0.5784	0.589333333333333	0.522333333333333	0.5096	0.579733333333333	0.7874	0.6068	0.5274	0.447	0.205466666666666	0.420466666666666	0.4742	0.425866666666666	0.3112
ECU031_M_fruticosa	0.975133333333333	0.890133333333333	0.959133333333333	0.8492	0.938266666666666	0.872333333333333	0.9744	0.947933333333333	0.873466666666666	0	0.9422	0.956133333333333	0.906533333333333	0.721466666666666	0.888733333333333	0.7524	0.966333333333333	0.971466666666666	0.921866666666666	0.933	0.97	0.771266666666666	0.954333333333333	0.964333333333333	0.920466666666666	0.9666	0.981533333333333	0.964266666666666	0.958	0.944333333333333	0.915333333333333	0.943266666666666	0.726066666666666	0.7298	0.723666666666666	0.788933333333333	0.6506	0.894466666666666	0.872266666666666	0.873933333333333	0.916933333333333	0.923066666666666	0.889466666666666
ECU034_M_austera	0.6406	0.579866666666666	0.417733333333333	0.603933333333333	0.312133333333333	0.523933333333333	0.937066666666666	0.6146	0.815933333333333	0.9422	0	0.443933333333333	0.720933333333333	0.7676	0.8506	0.816333333333333	0.424866666666666	0.434933333333333	0.860266666666666	0.669266666666666	0.546733333333333	0.846733333333333	0.494266666666666	0.8996	0.871733333333333	0.889466666666666	0.914	0.4156	0.915	0.8996	0.925933333333333	0.4378	0.710666666666666	0.715266666666666	0.792266666666666	0.698466666666666	0.8924	0.901933333333333	0.9034	0.849	0.840133333333333	0.873266666666666	0.866
ECU035_M_californica	0.4936	0.518933333333333	0.397266666666666	0.655066666666666	0.534733333333333	0.472133333333333	0.7624	0.560733333333333	0.6362	0.956133333333333	0.443933333333333	0	0.7018	0.755066666666666	0.833666666666666	0.7886	0.323666666666666	0.430866666666666	0.679266666666666	0.467066666666666	0.344333333333333	0.845933333333333	0.264533333333333	0.710333333333333	0.6064	0.634	0.705133333333333	0.256933333333333	0.707	0.712266666666666	0.862133333333333	0.271066666666666	0.6594	0.732133333333333	0.783066666666666	0.648333333333333	0.731666666666666	0.7372	0.729133333333333	0.682866666666666	0.6814	0.7198	0.695266666666666
